TotalCount NumWorkers Duration Pi_Error
720720 1 86 0.0010861820074931387
720720 1 60 2.5023000885182624E-5
720720 1 69 1.2690645971978788E-4
720720 1 62 7.210719250521865E-4
720720 1 51 9.30719303618272E-4
720720 1 73 2.140515158239924E-4
720720 1 68 4.2251286874701914E-4
720720 1 76 3.1240173138870147E-4
720720 1 65 5.067301112322848E-4
720720 1 67 9.925510608412432E-4
720720 1 63 0.0011603801161606758
1441440 2 145 1.8962152776026846E-4
1441440 2 106 9.148197089038099E-4
1441440 2 107 9.42239594733542E-5
1441440 2 124 2.8118313795173717E-4
1441440 2 116 1.4423271075494072E-5
1441440 2 115 7.714206416479598E-4
1441440 2 130 5.700257752647254E-4
1441440 2 112 3.892497725086254E-4
1441440 2 116 8.279525339661574E-4
1441440 2 99 7.832436475889204E-5
1441440 2 106 8.097429721127884E-5
2162160 3 190 1.0688474785713707E-4
2162160 3 203 4.914111125097827E-4
2162160 3 181 6.244966090086873E-4
2162160 3 188 1.4809764145283253E-4
2162160 3 156 5.544288953756713E-4
2162160 3 201 2.435034876259379E-4
2162160 3 155 3.621160457316365E-5
2162160 3 174 4.690421830201531E-4
2162160 3 153 1.0452097445749338E-4
2162160 3 171 2.010962905009926E-4
2162160 3 157 3.2686639189599916E-5
2882880 4 277 2.717694337851074E-4
2882880 4 227 3.0886848811880526E-4
2882880 4 227 1.799051087680893E-4
2882880 4 286 8.817972433427654E-5
2882880 4 231 3.995467874927646E-4
2882880 4 220 4.307653809297289E-4
2882880 4 228 4.254655160249553E-4
2882880 4 215 6.035915863285272E-4
2882880 4 244 3.363900640436707E-4
2882880 4 217 2.599836783323601E-4
2882880 4 266 3.0768246247588787E-4
3603600 5 289 6.247537954591255E-5
3603600 5 267 1.244331894308464E-4
3603600 5 292 2.3679032541317757E-4
3603600 5 309 7.484173099047853E-5
3603600 5 286 2.666968405451204E-4
3603600 5 305 5.964878493008042E-5
3603600 5 299 1.9827797377149292E-4
3603600 5 309 9.334064865598617E-5
3603600 5 350 1.2831975702777462E-4
3603600 5 317 3.844932531070331E-5
3603600 5 273 1.8131840607607603E-4
4324320 6 403 1.645943879319196E-4
4324320 6 365 1.3897009633894583E-4
4324320 6 386 6.418311379297486E-5
4324320 6 434 2.140515158239924E-4
4324320 6 351 4.0956592131049315E-4
4324320 6 312 6.625245025354299E-5
4324320 6 369 1.975630472310964E-4
4324320 6 413 3.1034067281460713E-4
4324320 6 371 1.7960239394253994E-4
4324320 6 362 4.248766421466628E-4
4324320 6 363 4.875917101871434E-4
5045040 7 461 1.57014874467218E-4
