TotalCount NumWorkers Duration Pi_Error
7207200 1 709 1.997418805809623E-4
7207200 1 726 2.671762175342565E-4
7207200 1 581 1.7995571826957195E-4
7207200 1 519 2.46696765581506E-5
7207200 1 504 2.391241840274524E-5
7207200 1 568 9.816113657176507E-5
7207200 1 620 1.35613515232495E-4
7207200 1 544 5.3591661869760106E-5
7207200 1 620 2.656368675641657E-4
7207200 1 525 2.1753414959226457E-4
7207200 1 602 1.0500035144648809E-4
7207200 2 594 2.9650213667423934E-4
7207200 2 564 8.190821753027088E-5
7207200 2 560 4.9579041610869224E-5
7207200 2 712 5.964878493008042E-5
7207200 2 607 1.4549323737598099E-5
7207200 2 594 1.175939745561234E-4
7207200 2 730 2.1882139423828862E-4
7207200 2 608 3.504213470291115E-5
7207200 2 572 7.002124307469962E-5
7207200 2 571 2.029217995238265E-4
7207200 2 652 4.670183749341307E-5
7207200 3 558 2.507466363291756E-4
7207200 3 598 1.3238298678814816E-4
7207200 3 565 2.6385688691686706E-5
7207200 3 536 2.5804039453403735E-4
7207200 3 549 1.495325756597143E-5
7207200 3 537 1.5115978562006647E-4
7207200 3 637 2.4795729220254628E-5
7207200 3 651 2.2712451592248105E-4
7207200 3 595 7.39584201731105E-5
7207200 3 608 1.301369881641347E-4
7207200 3 561 2.0186182654287175E-4
7207200 4 697 7.337782418115046E-5
7207200 4 589 9.779445323160503E-6
7207200 4 556 4.19825685805995E-5
7207200 4 520 2.0728774410960803E-4
7207200 4 583 1.7783577230766253E-4
7207200 4 535 3.370083816158707E-4
7207200 4 623 1.4656656936921559E-4
7207200 4 564 3.2392202250383E-5
7207200 4 600 3.2989128557459567E-4
7207200 4 531 1.8172233990444936E-4
7207200 4 575 3.774267665678062E-5
7207200 5 635 1.4474933823271414E-4
7207200 5 547 2.099376765621362E-4
7207200 5 563 1.2303325113584633E-5
7207200 5 687 1.6189892710512843E-5
7207200 5 520 2.70923373456094E-5
7207200 5 642 6.989519041273695E-5
7207200 5 603 1.7249865691467564E-5
7207200 5 519 7.819831209692937E-5
7207200 5 522 4.0039284782135395E-5
7207200 5 524 1.536330559088666E-4
7207200 5 596 1.4763236389680805E-6
7207200 6 653 2.1136433288254416E-5
7207200 6 615 1.0381432580357069E-4
7207200 6 605 3.650604151223921E-5
7207200 6 573 1.7430252903776633E-4
7207200 6 668 1.758924885091984E-4
7207200 6 588 1.536330559088666E-4
7207200 6 669 9.864051356075976E-5
7207200 6 679 2.0822166442860008E-4
7207200 6 679 9.28106621655088E-5
7207200 6 658 7.938433773984676E-5
7207200 6 584 3.318851788745425E-4
7207200 7 588 1.2496317592132378E-4
7207200 7 640 4.7533485563173387E-4
7207200 7 546 1.985052454364209E-4
7207200 7 662 1.382634476848818E-4
7207200 7 630 3.362883739492441E-5
7207200 7 652 1.728892317297796E-4
7207200 7 623 7.886771026179062E-6
7207200 7 642 3.2181543555533126E-4
7207200 7 648 1.830983867242228E-5
7207200 7 629 3.199982044189712E-4
7207200 7 659 1.0257769065917063E-4
7207200 8 672 1.3785951385650847E-4
7207200 8 623 8.770081843688447E-6
7207200 8 550 1.7801243447110784E-4
7207200 8 547 2.018112170413891E-4
7207200 8 600 6.473473718333675E-6
7207200 8 650 7.289844719201441E-5
7207200 8 702 2.32071056500364E-4
7207200 8 600 2.3149046050840397E-4
7207200 8 660 2.3330769164476404E-4
7207200 8 603 6.89612700937449E-5
7207200 8 561 9.180129868589539E-5
7207200 9 697 2.7268999509054736E-5
7207200 9 591 1.3361962193254824E-4
7207200 9 624 2.6864012434358453E-4
7207200 9 655 3.509274420439382E-5
7207200 9 586 2.6051366482283744E-4
7207200 9 615 2.1771081175585126E-4
7207200 9 559 3.380549955836975E-5
7207200 9 633 3.009186907616449E-4
7207200 9 772 1.5327973158197591E-4
7207200 9 585 1.3485625707708963E-4
7207200 9 629 1.9709194812843418E-4
7207200 10 692 1.4656656936921559E-4
7207200 10 634 5.841214978553901E-5
7207200 10 675 1.4599933238939405E-5
7207200 10 681 9.917050005123713E-5
7207200 10 638 1.93684757520642E-4
7207200 10 641 1.4739927068510095E-4
7207200 10 680 3.097890494253761E-5
7207200 10 660 1.8838489261572706E-4
7207200 10 633 9.515787979234625E-5
7207200 10 641 1.965619616379568E-4
7207200 10 575 5.103139640036637E-4
7207200 11 673 4.17552969156715E-5
7207200 11 654 2.2499121094758498E-5
7207200 11 766 2.360970357719588E-5
7207200 11 625 1.4409329908027411E-4
7207200 11 713 2.309604740179266E-4
7207200 11 586 5.1169001082301306E-5
7207200 11 780 3.521879686635649E-5
7207200 11 576 2.834291365756093E-4
7207200 11 645 2.9792879299478863E-5
7207200 11 655 1.1825001370856343E-4
7207200 11 659 6.159206872840317E-5
7207200 12 679 6.565529848877671E-5
7207200 12 704 3.8983036850058543E-4
7207200 12 576 2.8718965151057485E-4
7207200 12 565 2.719460959485527E-4
7207200 12 670 1.6669269699507538E-5
7207200 12 696 3.55204584455829E-4
7207200 12 675 1.4780320451361563E-4
7207200 12 614 1.5257308292791186E-4
7207200 12 668 1.200166353435822E-4
7207200 12 692 7.908162291443875E-5
7207200 12 580 1.989846224254156E-4
7207200 13 713 1.3414960842302558E-4
7207200 13 658 2.735866649214675E-4
7207200 13 651 9.192735134799942E-5
7207200 13 674 2.5710647421504527E-4
7207200 13 642 5.186229072309599E-6
7207200 13 662 7.62044187969826E-5
7207200 13 803 7.17664734444253E-4
7207200 13 711 1.8260565072195876E-4
7207200 13 741 6.472137816992602E-5
7207200 13 677 1.4209940578032733E-4
7207200 13 758 3.097890494253761E-5
7207200 14 673 5.2368385737922626E-6
7207200 14 724 2.1647417661130983E-4
7207200 14 635 1.3172694763570814E-4
7207200 14 670 8.698081077011649E-5
7207200 14 655 7.48283719780573E-6
7207200 14 837 2.9565607634550866E-5
7207200 14 735 2.479200417133435E-4
7207200 14 682 1.7907240745206258E-4
7207200 14 809 9.917050005123713E-5
7207200 14 620 7.696749850453868E-7
7207200 14 679 2.4032356868307375E-4
7207200 15 644 1.393234206658365E-4
7207200 15 726 4.3029182548002135E-6
7207200 15 690 7.802164993348404E-5
7207200 15 713 7.48283719780573E-6
7207200 15 662 7.802164993348404E-5
7207200 15 684 1.1229993119360547E-6
7207200 15 676 2.408535551735511E-4
7207200 15 663 1.0911419070834428E-4
7207200 15 603 1.4621324504218356E-4
7207200 15 658 1.03410391975056E-4
7207200 15 626 4.887611800573959E-4
7207200 16 638 1.333169071071402E-4
7207200 16 653 2.2995111053845455E-4
7207200 16 853 2.20007419881206E-4
7207200 16 679 2.4265742729777267E-5
7207200 16 654 8.190821753027088E-5
7207200 16 735 1.0611093392892546E-4
7207200 16 739 1.9315477103016464E-4
7207200 16 819 1.7389859520925164E-4
7207200 16 648 6.777524445068615E-5
7207200 16 639 4.8468459128431845E-5
7207200 16 681 1.985052454364209E-4
