TotalCount NumWorkers Duration Pi_Error
72072000 1 5775 1.1091853392360307E-4
72072000 1 5858 4.945537809634441E-5
72072000 1 7144 4.6542841546368814E-5
72072000 1 5951 7.473812283993399E-5
72072000 1 5910 5.604487679472129E-5
72072000 1 6633 2.2938387355933983E-5
72072000 1 6171 4.450883751860283E-5
72072000 1 5931 2.90709535767343E-5
72072000 1 7077 3.4211822534463644E-5
72072000 1 5911 2.0412118417930644E-5
72072000 1 5920 6.0004498404550294E-5
72072000 2 6118 7.710300668331385E-5
72072000 2 5962 7.443540801452598E-5
72072000 2 7172 3.431781983258739E-5
72072000 2 6262 4.945776724392361E-5
72072000 2 6005 8.277816933451092E-6
72072000 2 5802 8.812672568521467E-5
72072000 2 6182 5.259996460654777E-5
72072000 2 6146 7.339549039741019E-5
72072000 2 6224 1.8365226469063362E-5
72072000 2 6045 1.4197335311836467E-4
72072000 2 6627 2.5891034633870143E-5
72072000 3 7064 1.356001562196497E-5
72072000 3 6668 2.4634344125489804E-5
72072000 3 7313 2.0255511618324236E-5
72072000 3 6469 6.406533901734464E-5
72072000 3 6452 1.4158277830326071E-5
72072000 3 6266 4.200023479700057E-5
72072000 3 5961 3.8802649637735335E-5
72072000 3 6398 1.5389804915417595E-4
72072000 3 6366 5.912118758704091E-5
72072000 3 5991 5.9964858767768284E-6
72072000 3 6534 5.834387406779662E-5
72072000 4 6500 3.3061129324207045E-5
72072000 4 5715 7.496196210651022E-7
72072000 4 6474 6.189478355395253E-5
72072000 4 6351 6.576129578690046E-5
72072000 4 5958 2.1489757615286442E-5
72072000 4 7186 5.0818065902848486E-5
72072000 4 5927 1.8365226469063362E-5
72072000 4 7159 1.0033647033031558E-4
72072000 4 5716 9.622024192088018E-5
72072000 4 6646 8.252892425005013E-5
72072000 4 6087 7.406441747109288E-5
72072000 5 5772 9.899383788779179E-5
72072000 5 5928 8.526479863672174E-5
72072000 5 5883 1.8486500835867616E-5
72072000 5 5892 2.6153638731458934E-5
72072000 5 6029 6.242477004442988E-5
72072000 5 6594 3.767201179131767E-5
72072000 5 6077 6.567296470517779E-5
72072000 5 6854 7.69483179391186E-6
72072000 5 6076 2.5111331966905293E-5
72072000 5 5875 5.814954568795022E-5
72072000 5 6034 6.390634307030038E-5
72072000 6 6617 4.795374970677635E-5
72072000 6 5939 7.537171748095588E-5
72072000 6 6092 1.4914822610371864E-4
72072000 6 6777 1.285293624764429E-4
72072000 6 5845 3.721507931388247E-5
72072000 6 6476 3.6914753635912315E-5
72072000 6 5927 1.5061644011674383E-5
72072000 6 5946 4.214395367536432E-5
72072000 6 6320 1.0367538522036536E-4
72072000 6 6419 2.24637886620977E-5
72072000 6 6106 2.5467045441516525E-5
72072000 7 6238 5.7864497078660575E-5
72072000 7 6374 1.4372661574011408E-5
72072000 7 6208 2.617130494786001E-5
72072000 7 6422 1.0201045367934911E-5
72072000 7 6196 8.28115837116192E-5
72072000 7 6260 1.9195538637369518E-5
72072000 7 6338 2.3170437316020395E-5
72072000 7 6425 3.486547253932446E-5
72072000 7 6207 4.378691179585827E-5
72072000 7 6232 2.5767371119345323E-5
72072000 7 6419 1.2784038003877993E-4
72072000 8 5832 4.857445642655559E-5
72072000 8 6463 2.433640759509886E-5
72072000 8 6516 3.3255457704053456E-5
72072000 8 6543 1.5662295367473332E-5
72072000 8 7203 9.15033621556458E-5
72072000 8 6062 5.4719910568598566E-5
72072000 8 6733 8.966799371114066E-6
72072000 8 6348 2.3380042764688675E-5
72072000 8 6379 5.50422096668083E-6
72072000 8 6376 6.014582813533484E-5
72072000 8 6698 3.984495640228898E-5
72072000 9 6540 4.2388891556693396E-5
72072000 9 6632 3.709141579935765E-5
72072000 9 6363 8.220854320824104E-5
72072000 9 6153 4.090923658694084E-6
72072000 9 6672 7.017784987430602E-5
72072000 9 6105 9.521326758898732E-5
72072000 9 6261 4.843312669577105E-5
72072000 9 6608 3.693241985217203E-5
72072000 9 7239 1.772685353288305E-5
72072000 9 7125 6.488037411697027E-5
72072000 9 6447 1.2810776243152714E-4
72072000 10 6576 5.108067000057864E-5
72072000 10 6557 3.8025336118349695E-5
72072000 10 6491 6.113513625096796E-5
72072000 10 6531 1.060603244274428E-4
72072000 10 6668 2.5941644135352805E-5
72072000 10 6915 9.226062031105116E-5
72072000 10 6662 2.748099410530222E-5
72072000 10 6751 2.5976976568013603E-5
72072000 10 6591 3.7515404991711265E-5
72072000 10 6748 1.51357412704002E-7
72072000 10 6699 8.849771622864778E-5
72072000 11 7795 3.89640347323588E-5
72072000 11 6396 4.807741322115981E-5
72072000 11 6829 1.2303325113584633E-5
72072000 11 6454 1.4776595402526097E-5
72072000 11 6747 1.1660705558806948E-4
72072000 11 6746 3.0517194169802635E-5
72072000 11 6670 1.3556051658343313E-4
72072000 11 6836 6.89966025264057E-5
